Faq,Que ID,Path,Primary Question,Alternate Question,Tags,Answer,ReferenceId,Display Name,faqStatus,Extended Answer-1,Extended Answer-2
"",0764c747-504a-5910-a7ad-ad5c41646e8f,"acme|| || #*","Can I make an open dated booking on acme?","","","No, acme does not allow open dated bookings.",,,true,
"",bb7cbc70-aba5-5c00-8d8b-9163aac8bee5,"acme|| || #*","When do you charge my credit/debit card after I have made a booking on-line?","","","acme booking process will be complete only after the payment has been made by
                              the passengers. acme has made arrangement for on-line payments through credit card.
                              Your payment will be processed immediately.",,,true,
"",1d0c01a0-3c86-5df6-bca4-f6c5b2b238ef,"acme|| || #*","Do I receive a ticket when I book a seat on a acme flight?","","","No. acme is truly a ticket-less airline. We've removed tickets from our service
                              along with the costs associated with them. These savings are passed on to you, the
                              passenger, and that means we're able to offer you a better fare for our services. acme
                              offers a printed itinerary with a reference number and the details of the reservations.",,,true,
"",b38535ae-572c-5a11-8c9e-bb5a96af6c8c,"acme|| || #*","Which credit/debit cards are accepted for payment?","","","We accept Master Card/Visa Cards/Amex Cards for the purpose of payment.",,,true,
"",c551d898-ecb8-580b-9114-b0e98fd134a3,"acme|| || #*","How do I book my flight?","","","Log on to our website and check the availability of flights & fares. Select the desired flight along with fares and agree to the terms & conditions. Fill in the particulars, complete the payment process and finally generate the itinerary.
                                
Call acme's 24-Hour Reservations support
Go to any acme's walk-in airport ticket counters or sales offices.
Or, you can book a seat at any of the Travel Agents 


                              Once your payment has been made, you will be issued a passenger Booking Reference Number (PNR) and your Travel Itinerary (your reference, receipt and booking detail) will be provided in person or emailed to you. Alternatively, it can be collected at the airport sales counter, just outside the terminal. A charge of INR 100/- will be levied for each print of an Itinerary / Ticket at any acme Ticketing Counters/ Offices across India (charges are not applicable for fresh bookings). This fee is applicable only on requests for a print of an existing itinerary/ticket, already paid for. Please note that the Itinerary Printout Fee details towards re-printing of each Itinerary Ticket can be found under the âItinerary Printout Fee â INR 100â column on the printout.",,,true,
"",e3978f1e-68d6-529e-a5c0-632ad3ef7bae,"acme|| || #*","What happens if my name is not on the list but I am sure I have made a booking?","","","If a Passenger has made a booking, they should have a booking number and flight details. If they cannot remember their booking number, they should mention the Passengerâs name (as booked) and acmes staff will hopefully be able to find the booking.",,,true,
"",e93cdd3b-2a84-5765-b0f8-32eb6cbe38eb,"acme|| || #*","What is Kiosk Check-in?","","","https://www.goindigo.in/travel-information/en/check-in-options.en-d1c893e6d238400cb64c245988d8d5c1.html",,,true,
"",51d14ad7-6e2c-56c4-8095-995210df114c,"acme|| || #*","When does the airline charge my credit/debit card after I have made a booking on-line?","","","The booking process will be complete only after the payment has been confirmed
                              by the Passenger. The payment will be processed immediately.",,,true,
"",316a56eb-220f-568b-9974-de3333987d8f,"acme|| || #*","Can I make a group booking?","","","More than 10 passengers may be booked as a group. Kindly contact our Help Desk for more information",,,true,
"",b904d6ad-cc1d-5b0e-885b-06f5463047bc,"acme|| || #*","Can I make a group booking on Acme?","","","More than 10 passengers may be booked as a group. Kindly contact our Help Desk for more information",,,true,
